n,x,y,z,tier,method,status
166081,,,,T5,Failed (rational residue or no matching identity),failure
166609,,,,T5,Failed (rational residue or no matching identity),failure
167281,,,,T5,Failed (rational residue or no matching identity),failure
168529,,,,T5,Failed (rational residue or no matching identity),failure
168601,,,,T5,Failed (rational residue or no matching identity),failure
170641,,,,T5,Failed (rational residue or no matching identity),failure
172369,,,,T5,Failed (rational residue or no matching identity),failure
174241,,,,T5,Failed (rational residue or no matching identity),failure
174481,,,,T5,Failed (rational residue or no matching identity),failure
174649,,,,T5,Failed (rational residue or no matching identity),failure
174721,,,,T5,Failed (rational residue or no matching identity),failure
175561,,,,T5,Failed (rational residue or no matching identity),failure
176809,,,,T5,Failed (rational residue or no matching identity),failure
177241,,,,T5,Failed (rational residue or no matching identity),failure
177889,,,,T5,Failed (rational residue or no matching identity),failure
178441,,,,T5,Failed (rational residue or no matching identity),failure
179089,,,,T5,Failed (rational residue or no matching identity),failure
179209,,,,T5,Failed (rational residue or no matching identity),failure
180049,,,,T5,Failed (rational residue or no matching identity),failure
181201,,,,T5,Failed (rational residue or no matching identity),failure
181513,,,,T5,Failed (rational residue or no matching identity),failure
181609,,,,T5,Failed (rational residue or no matching identity),failure
182569,,,,T5,Failed (rational residue or no matching identity),failure
183049,,,,T5,Failed (rational residue or no matching identity),failure
183529,,,,T5,Failed (rational residue or no matching identity),failure
185137,,,,T5,Failed (rational residue or no matching identity),failure
185161,,,,T5,Failed (rational residue or no matching identity),failure
185593,,,,T5,Failed (rational residue or no matching identity),failure
185641,,,,T5,Failed (rational residue or no matching identity),failure
185761,,,,T5,Failed (rational residue or no matching identity),failure
186169,,,,T5,Failed (rational residue or no matching identity),failure
187009,,,,T5,Failed (rational residue or no matching identity),failure
187441,,,,T5,Failed (rational residue or no matching identity),failure
187489,,,,T5,Failed (rational residue or no matching identity),failure
188809,,,,T5,Failed (rational residue or no matching identity),failure
188953,,,,T5,Failed (rational residue or no matching identity),failure
189841,,,,T5,Failed (rational residue or no matching identity),failure
190369,,,,T5,Failed (rational residue or no matching identity),failure
190753,,,,T5,Failed (rational residue or no matching identity),failure
192721,,,,T5,Failed (rational residue or no matching identity),failure
192889,,,,T5,Failed (rational residue or no matching identity),failure
196081,,,,T5,Failed (rational residue or no matching identity),failure
196169,,,,T5,Failed (rational residue or no matching identity),failure
196249,,,,T5,Failed (rational residue or no matching identity),failure
196561,,,,T5,Failed (rational residue or no matching identity),failure
196681,,,,T5,Failed (rational residue or no matching identity),failure
196873,,,,T5,Failed (rational residue or no matching identity),failure
197401,,,,T5,Failed (rational residue or no matching identity),failure
197521,,,,T5,Failed (rational residue or no matching identity),failure
198841,,,,T5,Failed (rational residue or no matching identity),failure
201601,,,,T5,Failed (rational residue or no matching identity),failure
202889,,,,T5,Failed (rational residue or no matching identity),failure
203569,,,,T5,Failed (rational residue or no matching identity),failure
203809,,,,T5,Failed (rational residue or no matching identity),failure
206809,,,,T5,Failed (rational residue or no matching identity),failure
207001,,,,T5,Failed (rational residue or no matching identity),failure
207409,,,,T5,Failed (rational residue or no matching identity),failure
207673,,,,T5,Failed (rational residue or no matching identity),failure
208609,,,,T5,Failed (rational residue or no matching identity),failure
208849,,,,T5,Failed (rational residue or no matching identity),failure
209449,,,,T5,Failed (rational residue or no matching identity),failure
209569,,,,T5,Failed (rational residue or no matching identity),failure
210169,,,,T5,Failed (rational residue or no matching identity),failure
210601,,,,T5,Failed (rational residue or no matching identity),failure
211369,,,,T5,Failed (rational residue or no matching identity),failure
211681,,,,T5,Failed (rational residue or no matching identity),failure
211753,,,,T5,Failed (rational residue or no matching identity),failure
211969,,,,T5,Failed (rational residue or no matching identity),failure
212209,,,,T5,Failed (rational residue or no matching identity),failure
212521,,,,T5,Failed (rational residue or no matching identity),failure
212881,,,,T5,Failed (rational residue or no matching identity),failure
213481,,,,T5,Failed (rational residue or no matching identity),failure
214321,,,,T5,Failed (rational residue or no matching identity),failure
214369,,,,T5,Failed (rational residue or no matching identity),failure
214993,,,,T5,Failed (rational residue or no matching identity),failure
215569,,,,T5,Failed (rational residue or no matching identity),failure
216649,,,,T5,Failed (rational residue or no matching identity),failure
218089,,,,T5,Failed (rational residue or no matching identity),failure
219361,,,,T5,Failed (rational residue or no matching identity),failure
219409,,,,T5,Failed (rational residue or no matching identity),failure
220369,,,,T5,Failed (rational residue or no matching identity),failure
222041,,,,T5,Failed (rational residue or no matching identity),failure
